神经质,严谨性,宜人性,开放性,外向性
0.2,0.6,0.55,0.825,0.575
0.1,0.8,0.875,0.825,0.875
0.4,0.65,0.7,0.7,0.525
0.3,0.7,0.7,0.525,0.525
0.125,0.9,0.85,0.825,0.775
0.325,0.925,0.875,0.875,0.875
0.075,0.875,0.925,0.9,0.875
0.125,0.925,0.825,0.875,0.925
0.775,0.75,0.65,0.6,0.275
0.5,0.725,0.725,0.45,0.375
0.575,0.675,0.675,0.525,0.525
0.1,0.9,0.875,0.875,0.825
0.6,0.875,0.9,0.725,0.75
0.2,0.825,0.8,0.625,0.65
0.375,0.8,0.75,0.775,0.725
0.6,0.85,0.225,0.825,0.25
0.45,0.675,0.775,0.575,0.7
0.3,0.8,0.675,0.55,0.6
0.225,0.775,0.725,0.6,0.65
0.025,0.95,0.975,0.725,0.85
0.85,0.75,0.75,0.475,0.175
0.2,0.825,0.825,0.85,0.8
0.225,0.725,0.825,0.775,0.75
0.325,0.675,0.55,0.7,0.5
0.225,0.9,0.8,0.475,0.7
0.275,0.825,0.8,0.475,0.675
0.6,0.875,0.85,0.875,0.775
0.05,0.9,0.9,0.725,0.825
0.05,0.925,0.875,0.9,0.875
0.55,0.825,0.65,0.55,0.175
0.4,0.8,0.7,0.275,0.275
0.075,0.925,0.825,0.9,0.85
0.55,0.725,0.6,0.775,0.7
0.375,0.7,0.725,0.4,0.35
0.3,0.975,0.825,0.65,0.65
0.1,0.875,0.85,0.925,0.9
0.325,0.9,0.8,0.65,0.675
0.25,0.8,0.7,0.525,0.3
0.1,0.925,0.9,0.775,0.825
0.225,0.775,0.75,0.625,0.675
0.175,0.725,0.725,0.75,0.675
0.225,0.775,0.825,0.7,0.5
0.3,0.8,0.725,0.775,0.725
0.925,0.725,0.675,0.45,0.225
0.35,0.65,0.7,0.325,0.375
0.575,0.6,0.6,0.2,0.3
0.35,0.825,0.8,0.575,0.55
0,0.925,0.875,0.55,0.75
0.125,0.775,0.6,0.6,0.575
0.3,0.825,0.775,0.675,0.75
0.2,0.825,0.7,0.6,0.675
0.4,0.55,0.7,0.575,0.55
0.225,0.825,0.875,0.8,0.725
0.275,0.75,0.7,0.7,0.9
0.35,0.9,0.85,0.775,0.875
0.05,0.875,0.925,0.8,0.75
0.85,0.55,0.6,0.25,0.225
0.375,0.85,0.7,0.5,0.05
0.275,0.7,0.675,0.75,0.6
0.125,0.8,0.8,0.625,0.725
0.675,0.85,0.475,0.65,0.425
0.225,0.9,0.85,0.9,0.975
0.625,0.75,0.85,0.675,0.375
0.3,0.85,0.675,0.625,0.425
0.45,0.875,0.85,0.3,0.075
0.25,0.875,0.75,0.775,0.675
0.175,0.825,0.9,0.75,0.825
0.3,0.85,0.85,0.75,0.6
0.025,0.9,0.975,0.875,0.925
0.825,0.9,0.725,0.65,0.25
0.25,0.6,0.75,0.75,0.65
0.275,0.625,0.45,0.3,0.275
0.325,0.875,0.85,0.825,0.625
0.3,0.975,0.975,0.825,0.85
0.15,0.9,0.9,0.8,0.825
0.5,0.8,0.65,0.775,0.5
0.3,0.675,0.75,0.625,0.5
0.35,0.8,0.4,0.675,0.25
0.725,0.525,0.85,0.775,0.475
0.15,0.675,0.725,0.725,0.725
0.45,0.75,0.675,0.425,0.275
0.55,0.9,0.85,0.3,0.35
0.575,0.7,0.725,0.425,0.425
0.6,0.625,0.575,0.55,0.625
0.2,0.85,0.725,0.95,0.9
0.125,0.575,0.875,0.875,0.875
0.175,0.925,0.875,0.75,0.825
0.225,0.85,0.7,0.775,0.75
0.125,0.85,0.75,0.85,0.775
0.275,0.7,0.7,0.825,0.675
0.25,0.625,0.55,0.4,0.325
0.525,0.8,0.65,0.75,0.8
0.175,0.825,0.775,0.85,0.725
0.15,0.875,0.825,0.825,0.725
0.2,0.8,0.7,0.65,0.6
0.325,0.8,0.8,0.725,0.425
0.175,0.85,0.85,0.875,0.9
0.15,0.85,0.9,0.8,0.9
0.125,0.825,0.85,0.875,0.925
0.575,0.7,0.8,0.65,0.725
0.4,0.95,0.725,0.475,0.725
0.125,0.8,0.9,0.825,0.875
0.075,0.875,0.8,0.875,0.9
0.1,0.875,0.875,0.85,0.825
0.2,0.475,0.625,0.75,0.475
0.55,0.85,0.925,0.875,0.575
0.5,0.725,0.7,0.425,0.5
0.35,0.75,0.75,0.7,0.575
0.6,0.7,0.35,0.8,0.5
0.15,0.8,0.85,0.825,0.8
0.2,0.75,0.75,0.675,0.725
0.175,0.8,0.775,0.775,0.825
0.05,0.925,0.925,0.925,0.8
0.15,0.875,0.825,0.85,0.775
0.55,0.825,0.65,0.775,0.575
0.125,0.775,0.825,0.8,0.775
0.05,0.9,0.85,0.575,0.475
0.775,0.725,0.725,0.525,0.075
0.225,0.775,0.775,0.575,0.625
0.55,0.7,0.8,0.55,0.425
0.4,0.775,0.75,0.75,0.8
0.075,0.975,0.875,0.85,0.925
0.375,0.825,0.8,0.725,0.6
0.2,0.65,0.55,0.6,0.675
0.025,0.9,0.65,0.675,0.875
0.025,0.8,0.725,0.55,0.675
0.1,0.925,0.75,0.65,0.65
0.2,0.85,0.825,0.875,0.875
0.275,0.775,0.775,0.85,0.9
0.225,0.9,0.825,0.8,0.825
0.175,0.825,0.775,0.625,0.725
0.15,0.875,0.9,0.8,0.75
0.425,0.775,0.725,0.6,0.625
0.15,0.75,0.8,0.825,0.85
0.425,0.75,0.725,0.575,0.65
0.025,0.525,0.8,0.9,0.85
0.075,0.85,0.725,0.725,0.7
0.225,0.875,0.875,0.775,0.875
0.325,0.85,0.925,0.65,0.825
0.225,0.775,0.9,0.675,0.725
0.1,0.875,0.8,0.8,0.675
0.125,0.825,0.875,0.775,0.85
0.5,0.95,0.775,0.975,0.75
0.35,0.8,0.65,0.725,0.775
0.425,0.775,0.625,0.85,0.725
0.55,0.825,0.675,0.5,0.5
0.4,0.6,0.775,0.775,0.875
0.35,0.725,0.725,0.775,0.9
0.325,0.875,0.825,0.9,0.65
0.45,0.825,0.425,0.675,0.525
0.2,0.9,0.825,0.85,0.9
0.575,0.5,0.7,0.525,0.6
0.15,0.825,0.725,0.925,0.475
0.375,0.9,0.7,0.75,0.775
0.275,0.925,0.625,0.6,0.675
0.125,0.825,0.725,0.725,0.8
0.15,0.825,0.8,0.825,0.775
0.6,0.85,0.775,0.875,0.925
0.35,0.825,0.9,0.55,0.575
0.2,0.775,0.875,0.625,0.475
0.225,0.775,0.75,0.875,0.8
0.45,0.675,0.725,0.775,0.7
0.375,0.825,0.6,0.6,0.775
0.2,0.8,0.85,0.75,0.7
0.675,0.85,0.85,0.7,0.425
0.475,0.7,0.725,0.65,0.325
0.3,0.775,0.675,0.7,0.7
0.2,0.7,0.625,0.375,0.475
0.725,0.7,0.575,0.85,0.7
0.1,0.775,0.35,0.775,0.75
0.6,0.5,0.875,0.775,0.75
0.675,0.625,0.65,0.45,0.3
0.4,0.9,0.775,0.825,0.775
0.05,0.85,0.875,0.8,0.55
0.225,0.75,0.9,0.775,0.925
0.4,0.825,0.9,0.625,0.525
0.125,0.925,0.9,0.85,0.8
0.225,0.875,0.85,0.625,0.625
0.1,1,0.8,0.825,0.8
0.075,0.775,0.625,0.75,0.975
0.275,0.725,0.775,0.75,0.7
0.2,0.875,0.725,0.775,0.65
0.4,0.875,0.75,0.725,0.625
0.225,0.85,0.825,0.8,0.825
0.55,0.8,0.7,0.8,0.375
0.15,0.925,0.7,0.675,0.675
0.1,0.9,0.9,0.7,0.9
0.1,0.85,0.8,0.825,0.8
0.2,0.825,0.8,0.9,0.875
0.4,0.7,0.525,0.625,0.2
0.275,0.825,0.775,0.65,0.475
0.15,0.975,0.9,0.8,0.85
0.2,0.75,0.85,0.75,0.725
0.05,0.95,0.925,0.9,0.975
0.1,0.825,0.825,0.825,0.8
0.15,0.875,0.8,0.7,0.65
0.075,1,0.975,0.775,0.725
0.1,0.8,0.8,0.75,0.8
0.125,0.9,0.825,0.95,0.55
0.3,0.925,0.8,0.7,0.85
0.125,0.875,0.75,0.875,0.925
0.125,0.9,0.9,0.85,0.55
0.2,0.95,0.725,0.65,0.725
0.225,0.925,0.9,0.475,0.85
0.425,0.7,0.65,0.65,0.625
0.4,0.75,0.575,0.875,0.8
0.175,0.6,0.775,0.675,0.725
0.225,0.75,0.725,0.5,0.525
0.3,0.925,0.775,0.475,0.675
0.1,0.9,0.85,0.875,0.875
0.275,0.75,0.65,0.55,0.625
0.225,0.75,0.7,0.55,0.6
0.1,0.825,0.8,0.95,0.8
0.05,0.925,0.975,0.825,0.85
0.15,0.925,0.775,0.625,0.375
0.375,0.8,0.775,0.8,0.825
0.475,0.85,0.775,0.85,0.725
0.15,0.825,0.95,0.9,0.85
0.025,0.875,0.975,0.925,0.775
0.15,0.875,0.925,0.8,0.8
0.075,0.775,0.8,0.85,0.475
0.275,0.925,0.85,0.475,0.3
0.175,0.85,0.825,0.8,0.7
0.3,0.775,0.7,0.75,0.675
0.45,0.65,0.7,0.6,0.4
0.225,0.8,0.8,0.5,0.425
0.3,0.775,0.675,0.7,0.825
0.75,0.25,0.7,0.675,0.3
0.1,0.825,0.8,0.375,0.625
0.125,0.725,0.775,0.85,0.75
0.55,0.8,0.85,0.875,0.65
0.8,0.75,0.55,0.6,0.575
0.475,0.675,0.8,0.6,0.65
0.375,0.9,0.725,0.825,0.475
0.725,0.725,0.825,0.475,0.3
0.075,0.95,1,0.775,0.8
0.325,0.725,0.525,0.65,0.625
0.125,0.9,0.925,0.875,0.85
0.15,0.7,0.55,0.85,0.825
0.15,0.725,0.85,0.85,0.925
0.45,0.7,0.725,0.55,0.3
0.45,0.75,0.8,0.75,0.55
0.4,0.775,0.725,0.65,0.675
0.6,0.875,0.875,0.525,0.475
0.225,0.9,0.85,0.7,0.825
0.575,0.9,0.85,0.625,0.2
0.2,0.925,0.975,0.875,0.7
0.1,0.75,0.95,0.7,0.725
0.125,0.95,0.9,0.625,0.575
0.125,0.825,0.775,0.9,0.325
0.2,0.925,0.65,0.525,0.525
0.325,1,1,0.475,0.15
0.375,0.975,0.825,0.825,0.675
0.15,0.85,0.9,0.775,0.75
0.6,0.75,0.675,0.375,0.3
0.15,0.825,0.775,0.8,0.8
0.15,0.825,0.875,0.875,0.9
0.2,0.8,0.8,0.825,0.825
0.275,0.95,0.925,0.65,0.875
0.175,0.925,0.875,0.85,0.75
0.125,0.825,0.75,0.8,0.85
0.125,0.8,0.725,0.825,0.825
0.025,0.825,0.8,0.8,0.85
0.075,0.775,0.675,0.7,0.75
0.125,0.825,0.65,0.75,0.75
0.15,0.825,0.7,0.825,0.8
0.125,0.9,0.85,0.825,0.925
0.25,0.85,0.95,0.9,0.875
0.125,0.75,0.7,0.75,0.65
0.45,0.75,0.7,0.775,0.65
0.3,0.625,0.6,0.675,0.525
0.15,0.85,0.85,0.875,0.975
0.15,0.825,0.775,0.8,0.9
0.15,0.875,0.825,0.9,0.775
0.175,0.925,0.775,0.8,0.775
0.175,0.9,0.825,0.875,0.875
0.3,0.775,0.775,0.725,0.75
0.2,0.775,0.85,0.775,0.75
0.125,0.9,0.775,0.85,0.875
0.15,0.825,0.8,0.8,0.8
0.15,0.85,0.825,0.825,0.9
0.1,0.975,0.725,0.85,0.925
0.425,0.85,0.775,0.475,0.325
0.425,0.725,0.825,0.775,0.525
0.15,0.85,0.825,0.9,0.85
0.175,0.875,0.9,0.9,0.925
0.15,0.9,0.825,0.8,0.825
0.175,0.85,0.925,0.75,0.9
0.55,0.725,0.9,0.425,0.2
0.1,0.825,0.9,0.85,0.9
0.15,0.975,0.825,0.85,0.825
0.575,0.425,0.575,0.55,0.45
0.6,0.7,0.6,0.5,0.4
0.275,0.775,0.375,0.725,0.85
0.15,0.875,0.825,0.875,0.825
0.225,0.825,0.7,0.725,0.625
0.275,0.75,0.675,0.55,0.65
0.15,0.7,0.55,0.325,0.4
0.3,0.9,0.725,0.475,0.55
0.125,0.825,0.775,0.575,0.5
0.425,0.8,0.825,0.875,0.9
0.175,0.875,0.825,0.7,0.65
0.275,0.85,0.8,0.8,0.6
0.175,0.85,0.8,0.875,0.9
0.525,0.7,0.725,0.8,0.425
0.075,0.85,0.75,0.8,0.875
0.05,0.875,0.925,0.925,0.8
0.1,0.8,0.775,0.85,0.95
0.25,0.8,0.675,0.875,0.725
0.275,0.7,0.625,0.8,0.675
0.15,0.925,0.75,0.85,0.9
0.1,0.925,0.95,0.725,0.925
0.2,0.7,0.775,0.6,0.775
0.175,0.675,0.65,0.775,0.75
0.1,0.9,0.85,0.85,0.625
0.275,0.8,0.6,0.725,0.775
0.1,0.8,0.9,0.675,0.85
0.2,0.85,0.85,0.825,0.825
0.1,0.875,0.825,0.9,0.6
0.175,0.925,0.9,0.875,0.8
0.05,1,0.975,0.8,0.65
0.325,0.775,0.8,0.425,0.375
0.05,1,0.95,0.75,0.725
0.075,0.925,0.775,0.8,0.625
0.125,0.725,0.85,0.8,0.8
0.175,0.75,0.325,0.825,0.8
0.075,0.75,0.825,0.875,0.85
0.675,0.875,0.625,0.925,0.775
0.2,0.875,0.8,0.775,0.725
0.125,0.775,0.85,0.875,0.725
0.1,0.85,0.75,0.9,0.825
0.275,0.85,0.775,0.45,0.675
0.175,0.85,0.875,0.875,0.9
0.125,0.9,0.75,0.8,0.575
0.15,0.825,0.875,0.8,0.9
0.175,0.85,0.825,0.75,0.825
0.05,0.775,1,0.925,0.95
0.15,0.925,0.875,0.85,0.6
0.4,0.825,0.75,0.675,0.65
0.15,0.85,0.8,0.575,0.45
0.15,0.85,0.9,0.875,0.825
0.425,0.775,0.8,0.85,0.6
0.2,0.8,0.9,0.825,0.825
0.025,0.925,0.825,0.8,0.9
0.125,0.875,0.8,0.875,0.85
0.275,0.9,0.775,0.8,0.725
0.1,0.8,0.8,0.6,0.75
0.125,0.75,0.875,0.55,0.85
0.15,0.925,0.85,0.8,0.9
0.2,0.9,0.725,0.525,0.8
0.75,0.45,0.875,0.8,0.275
0.225,0.85,0.65,0.8,0.8
0.175,0.7,0.775,0.675,0.725
0.175,0.9,0.775,0.725,0.65
0.375,0.775,0.9,0.675,0.5
0.65,0.7,0.45,0.5,0.575
0.15,0.85,0.8,0.825,0.825
0.9,0.35,0.1,0.425,0.1
0.175,0.85,0.775,0.85,0.825
0.1,0.675,0.7,0.725,0.825
0.25,0.75,0.75,0.75,0.825
0.375,0.825,0.75,0.4,0.4
0.9,0.525,0.9,0.55,0.075
0.225,0.8,0.7,0.75,0.9
0.525,0.85,0.75,0.775,0.75
0.175,0.7,0.75,0.75,0.825
0,0.85,0.95,0.875,0.9
0.05,0.725,0.8,0.875,0.875
0.85,0.675,0.775,0.575,0.225
0.15,0.925,0.625,0.8,0.9
0.25,0.85,0.775,0.775,0.85
0.375,0.875,0.5,0.65,0.575
0.25,0.9,0.775,0.675,0.825
0.2,0.65,0.7,0.5,0.625
0.25,0.875,0.9,0.775,0.5
0.325,0.85,0.75,0.75,0.575
0.3,0.775,0.775,0.75,0.775
0.625,0.75,0.825,0.55,0.675
0.325,0.7,0.775,0.8,0.175
0.65,0.775,0.6,0.5,0.475
0.7,0.75,0.85,0.525,0.5
0,0.975,0.875,0.825,0.825
0.325,0.75,0.75,0.8,0.75
0.8,0.6,0.65,0.875,0.725
0.225,0.85,0.825,0.875,0.85
0.425,0.75,0.675,0.775,0.725
0.7,0.75,0.7,0.525,0.325
0.25,0.85,0.75,0.825,0.725
0.1,0.925,0.775,0.85,0.6
0.2,0.75,0.65,0.575,0.6
0.525,0.85,0.85,0.225,0.275
0.45,0.775,0.725,0.65,0.675
0.075,0.85,0.75,0.775,0.8
0.775,0.9,0.55,0.625,0.45
0.625,0.575,0.7,0.725,0.325
0.35,0.85,0.625,0.775,0.825
0.15,0.825,0.675,0.625,0.475
0.125,0.925,0.9,0.875,0.9
0.475,0.625,0.65,0.475,0.35
0.2,0.7,0.8,0.75,0.55
0.3,0.875,0.875,0.875,0.925
0.075,0.925,0.775,0.825,0.8
0.025,0.95,0.775,0.775,0.9
0.425,0.9,0.95,0.8,0.875
0.175,0.825,0.85,0.7,0.825
0.35,0.75,0.725,0.475,0.775
0.225,0.7,0.8,0.65,0.625
0.175,0.8,0.725,0.775,0.875
0.225,0.7,0.8,0.7,0.525
0.35,0.925,0.675,0.65,0.8
0.125,0.925,0.475,0.775,0.825
0.1,0.925,0.7,0.9,0.55
0.3,0.525,0.875,0.875,0.55
0.15,0.825,0.95,0.725,0.75
0.15,0.8,0.775,0.825,0.675
0.2,0.875,0.65,0.8,0.7
0.825,0.775,0.625,0.65,0.275
0.125,0.875,0.75,0.75,0.8
0.175,0.6,0.825,0.9,0.95
0.175,0.575,0.85,0.9,0.95
0.55,0.625,0.675,0.725,0.65
0.6,0.825,0.725,0.725,0.425
0.175,0.875,0.875,0.85,0.85
0.5,0.85,0.775,0.675,0.475
0.25,0.75,0.6,0.7,0.55
0.175,0.95,0.85,0.175,0.125
0.2,0.825,0.825,0.85,0.875
0.225,0.75,0.9,0.875,0.85
0.625,0.8,0.975,0.225,0.2
0.075,0.875,0.9,0.825,0.825
0.075,0.9,0.825,0.8,0.875
0.375,0.6,0.8,0.825,0.35
0.35,0.85,0.95,0.575,0.875
0.4,0.65,0.675,0.75,0.4
0.1,0.875,0.875,0.725,0.825
0.45,0.75,0.875,0.6,0.525
0.325,0.925,0.925,0.75,0.925
0.85,0.675,0.775,0.3,0.55
0.4,0.675,0.675,0.625,0.475
0.7,0.65,0.675,0.425,0.35
0.25,0.525,0.7,0.55,0.3
0.8,0.775,0.8,0.25,0.2
0.425,0.875,0.875,0.775,0.75
0.25,0.875,0.875,0.475,0.175
0.55,0.8,0.825,0.7,0.675
0.4,0.775,0.2,0.8,0.45
0.025,0.825,0.875,0.8,0.85
0.225,0.875,0.8,0.775,0.675
0.2,0.925,0.775,0.725,0.675
0.675,0.675,0.65,0.7,0.675
0.075,0.9,0.9,0.825,0.975
0.1,0.775,0.8,0.8,0.8
0.175,0.725,0.875,0.85,0.875
0.55,0.775,0.9,0.7,0.775
0.025,0.85,0.9,0.85,0.575
0.15,0.9,0.85,0.85,0.875
0.125,0.825,0.925,0.775,0.675
0.1,0.75,0.875,0.825,0.8
0.15,0.9,0.875,0.85,0.875
0.525,0.475,0.725,0.65,0.6
0.6,0.875,0.8,0.625,0.425
0.4,0.775,0.675,0.55,0.5
0.3,0.825,0.7,0.725,0.425
0.375,0.775,0.6,0.75,0.775
0.45,0.8,0.725,0.625,0.55
0.5,0.8,0.675,0.525,0.125
0.4,0.725,0.7,0.85,0.75
0.425,0.675,0.55,0.55,0.425
0.15,0.8,0.85,0.95,0.7
0.15,0.85,0.825,0.825,0.875
0.275,0.825,0.775,0.85,0.8
0.2,0.85,0.8,0.825,0.875
0.2,0.85,0.8,0.825,0.875
0.5,0.4,0.6,0.55,0.425
0.1,0.775,0.65,0.375,0.5
0.05,0.85,0.85,0.9,0.7
0.125,0.875,0.925,0.875,0.6
0.125,0.875,0.825,0.825,0.875
0.125,0.775,0.85,0.85,0.875
0.225,0.825,0.725,0.75,0.7
0.15,0.9,0.825,0.85,0.775
0.35,0.575,0.85,0.575,0.775
0.475,0.8,0.7,0.375,0.525
0.2,0.875,0.875,0.8,0.85
0.175,0.475,0.875,0.775,0.6
0.2,0.925,0.775,0.8,0.85
0.125,0.875,0.825,0.8,0.95
0.05,0.85,0.775,0.675,0.875
0.425,0.85,0.75,0.875,0.625
0.225,0.775,0.725,0.625,0.575
0.45,0.55,0.6,0.7,0.55
0.1,0.825,0.875,0.775,0.75
0.425,0.625,0.575,0.875,0.8
0.325,0.825,0.7,0.7,0.6
0.45,0.875,0.9,0.85,0.675
0.15,0.7,0.7,0.7,0.675
0.3,0.85,0.475,0.675,0.4
0.225,0.825,0.725,0.6,0.6
0.15,0.85,0.825,0.9,0.75
0.35,0.825,0.825,0.475,0.5
0.15,0.875,0.875,0.95,0.7
0.45,0.75,0.775,0.425,0.8
0.1,0.925,0.85,0.775,0.8
0.75,0.55,0.45,0.5,0.375
0.275,0.575,0.65,0.7,0.425
0.65,0.85,0.8,0.575,0.6
0.45,0.8,0.8,0.775,0.65
0.075,0.9,0.75,0.8,0.875
0.125,0.9,0.875,0.9,0.8
0.725,0.8,0.525,0.625,0.3
0.2,0.875,0.875,0.875,0.85
0.725,0.925,0.525,0.575,0.5
0.3,0.925,0.975,0.725,0.65
0.125,0.825,0.675,0.875,0.875
0.225,0.9,0.825,0.6,0.75
0.2,0.875,0.775,0.775,0.75
0.675,0.55,0.525,0.2,0.2
0.15,0.85,0.875,0.925,0.675
0.55,0.95,0.8,0.65,0.825
0.35,0.825,0.875,0.625,0.3
0.725,0.875,0.4,0.625,0.35
0.475,0.625,0.725,0.35,0.175
0.15,0.875,0.925,0.9,0.9
0.375,0.8,0.975,0.675,0.575
0.85,0.425,0.75,0.275,0.25
0.225,0.875,0.975,0.85,0.65
0.1,0.775,0.4,0.75,0.7
0.275,0.85,0.675,0.7,0.75
0.5,0.85,0.9,0.525,0.275
0.8,0.7,0.3,0.125,0.1
0.125,0.875,0.8,0.575,0.475
0.725,0.925,0.7,0.825,0.25
0.075,0.95,0.8,0.875,0.825
0.2,0.875,0.775,0.75,0.725
0.15,0.925,0.875,0.875,0.625
0.475,0.925,0.825,0.825,0.75
0.275,0.675,0.675,0.7,0.75
0.675,0.6,0.425,0.875,0.275
0.325,0.925,0.75,0.775,0.45
0.275,0.9,0.85,0.8,0.9
0.15,0.775,0.75,0.725,0.75
0.075,0.85,0.875,0.825,0.825
0.1,0.875,0.85,0.8,0.825
0.275,0.825,0.75,0.6,0.7
0.925,0.65,0.875,0.55,0.075
0.225,0.8,0.775,0.8,0.875
0.4,0.7,0.55,0.525,0.4
0.075,0.85,0.6,0.925,0.85
0.575,0.7,0.675,0.575,0.6
0.125,0.6,0.875,0.925,0.9
0.525,0.875,0.725,0.7,0.65
