您对音频A的感受评价是？,您对音频B的感受评价是？,您对音频C的感受评价是？,您对音频D的感受评价是？,您对音频E的感受评价是？,您对音频F的感受评价是？,您对音频G的感受评价是？,您对音频H的感受评价是？,您对音频I的感受评价是？,您对音频J的感受评价是？,您对音频K的感受评价是？,您对音频L的感受评价是？,您对音频M的感受评价是？,您对音频N的感受评价是？,您对音频O的感受评价是？,您对音频P的感受评价是？,您对音频Q的感受评价是？,您对音频R的感受评价是？,您对音频S的感受评价是？,您对音频T的感受评价是？,您对音频U的感受评价是？,您对音频V的感受评价是？,您对音频W的感受评价是？,您对音频X的感受评价是？,您对音频Y的感受评价是？
6.0,5.0,5.0,3.0,6.0,5.0,6.0,5.0,7.0,4.0,5.0,6.0,7.0,6.0,7.0,5.0,4.0,6.0,5.0,6.0,7.0,5.0,5.0,3.0,5.0
5.0,3.0,4.0,5.0,3.0,4.0,6.0,6.0,4.0,5.0,5.0,4.0,5.0,5.0,5.0,4.0,3.0,4.0,4.0,6.0,3.0,3.0,5.0,4.0,4.0
5.0,6.0,5.0,7.0,5.0,6.0,6.0,5.0,7.0,7.0,7.0,6.0,5.0,5.0,7.0,6.0,5.0,6.0,5.0,6.0,7.0,7.0,6.0,7.0,7.0
3.0,3.0,5.0,6.0,4.0,6.0,3.0,6.0,6.0,5.0,5.0,5.0,3.0,5.0,3.0,5.0,4.0,2.0,2.0,3.0,4.0,5.0,5.0,3.0,4.0
6.0,6.0,5.0,6.0,6.0,5.0,5.0,3.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,2.0,3.0,3.0,3.0,2.0,5.0,3.0,4.0,5.0
7.0,4.0,5.0,7.0,5.0,5.0,6.0,6.0,4.0,7.0,6.0,5.0,7.0,7.0,4.0,3.0,2.0,2.0,2.0,3.0,4.0,6.0,6.0,5.0,4.0
5.0,4.0,3.0,3.0,3.0,5.0,5.0,5.0,7.0,5.0,6.0,5.0,6.0,5.0,4.0,7.0,5.0,7.0,6.0,7.0,6.0,4.0,5.0,5.0,7.0
4.0,4.0,5.0,2.0,2.0,3.0,3.0,2.0,5.0,5.0,3.0,3.0,3.0,2.0,2.0,6.0,5.0,5.0,6.0,6.0,5.0,6.0,5.0,5.0,3.0
6.0,6.0,5.0,4.0,6.0,7.0,5.0,7.0,7.0,6.0,5.0,6.0,6.0,4.0,6.0,6.0,5.0,6.0,6.0,7.0,5.0,5.0,5.0,6.0,7.0
4.0,2.0,4.0,5.0,4.0,7.0,7.0,6.0,7.0,5.0,5.0,6.0,5.0,7.0,7.0,6.0,3.0,4.0,2.0,7.0,7.0,6.0,6.0,6.0,4.0
6.0,6.0,6.0,6.0,7.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
6.0,2.0,4.0,2.0,5.0,5.0,4.0,4.0,6.0,5.0,4.0,3.0,5.0,4.0,3.0,6.0,2.0,5.0,4.0,6.0,5.0,6.0,7.0,5.0,7.0
7.0,5.0,6.0,6.0,6.0,5.0,7.0,6.0,7.0,6.0,5.0,7.0,6.0,4.0,6.0,6.0,6.0,5.0,7.0,5.0,6.0,6.0,7.0,5.0,6.0
5.0,5.0,6.0,5.0,5.0,6.0,5.0,5.0,6.0,6.0,4.0,6.0,5.0,7.0,6.0,6.0,2.0,3.0,4.0,5.0,3.0,7.0,6.0,5.0,7.0
5.0,6.0,4.0,5.0,7.0,5.0,5.0,7.0,5.0,7.0,6.0,6.0,6.0,5.0,6.0,4.0,1.0,1.0,3.0,3.0,1.0,5.0,5.0,3.0,5.0
4.0,3.0,3.0,6.0,7.0,4.0,6.0,7.0,3.0,7.0,5.0,6.0,6.0,7.0,6.0,2.0,1.0,2.0,1.0,2.0,2.0,6.0,5.0,5.0,6.0
4.0,5.0,6.0,7.0,3.0,4.0,6.0,4.0,4.0,4.0,3.0,4.0,5.0,5.0,3.0,5.0,3.0,5.0,3.0,6.0,4.0,5.0,6.0,4.0,6.0
6.0,4.0,5.0,4.0,4.0,5.0,4.0,5.0,5.0,6.0,3.0,4.0,5.0,4.0,4.0,6.0,4.0,3.0,4.0,5.0,3.0,7.0,5.0,4.0,6.0
7.0,4.0,5.0,4.0,4.0,6.0,7.0,7.0,7.0,7.0,6.0,7.0,7.0,6.0,7.0,6.0,3.0,4.0,3.0,6.0,5.0,6.0,6.0,5.0,7.0
5.0,4.0,4.0,4.0,4.0,5.0,6.0,6.0,6.0,5.0,4.0,7.0,4.0,6.0,3.0,4.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,4.0,3.0
7.0,6.0,5.0,7.0,5.0,7.0,7.0,7.0,6.0,7.0,6.0,7.0,7.0,6.0,7.0,6.0,4.0,4.0,4.0,5.0,5.0,6.0,6.0,5.0,7.0
6.0,5.0,2.0,6.0,2.0,5.0,5.0,6.0,7.0,6.0,5.0,6.0,6.0,6.0,6.0,7.0,5.0,6.0,5.0,7.0,7.0,6.0,5.0,2.0,6.0
6.0,6.0,6.0,4.0,5.0,5.0,5.0,5.0,4.0,5.0,3.0,5.0,5.0,5.0,6.0,3.0,1.0,2.0,1.0,2.0,2.0,6.0,6.0,4.0,7.0
4.0,4.0,4.0,3.0,3.0,3.0,5.0,6.0,3.0,5.0,5.0,6.0,5.0,5.0,5.0,2.0,1.0,2.0,3.0,3.0,3.0,4.0,4.0,3.0,5.0
6.0,7.0,6.0,5.0,6.0,6.0,6.0,5.0,6.0,5.0,6.0,7.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
6.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,6.0,4.0,5.0,5.0,6.0,5.0,6.0,6.0,7.0,7.0,6.0,7.0,5.0,6.0
5.0,4.0,4.0,3.0,5.0,3.0,5.0,5.0,3.0,5.0,3.0,5.0,4.0,4.0,5.0,3.0,1.0,2.0,1.0,3.0,1.0,2.0,5.0,3.0,4.0
6.0,6.0,5.0,6.0,5.0,5.0,7.0,6.0,6.0,5.0,6.0,7.0,6.0,7.0,5.0,5.0,2.0,2.0,2.0,3.0,3.0,5.0,4.0,5.0,4.0
6.0,6.0,6.0,6.0,6.0,6.0,7.0,7.0,7.0,6.0,6.0,6.0,6.0,7.0,6.0,6.0,6.0,6.0,6.0,5.0,6.0,6.0,6.0,6.0,6.0
7.0,4.0,5.0,5.0,5.0,6.0,6.0,5.0,5.0,6.0,5.0,7.0,7.0,6.0,5.0,3.0,1.0,3.0,2.0,4.0,3.0,6.0,5.0,5.0,6.0
6.0,6.0,5.0,6.0,6.0,6.0,6.0,4.0,7.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,3.0,3.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0
5.0,4.0,5.0,3.0,4.0,4.0,6.0,4.0,5.0,6.0,3.0,6.0,4.0,4.0,6.0,3.0,1.0,2.0,3.0,3.0,2.0,4.0,4.0,5.0,5.0
3.0,1.0,3.0,1.0,3.0,4.0,4.0,2.0,2.0,4.0,2.0,2.0,2.0,3.0,3.0,6.0,5.0,5.0,5.0,5.0,7.0,4.0,7.0,5.0,6.0
6.0,6.0,6.0,5.0,5.0,5.0,7.0,6.0,7.0,6.0,5.0,6.0,6.0,7.0,5.0,6.0,4.0,5.0,5.0,5.0,5.0,5.0,6.0,6.0,5.0
6.0,5.0,5.0,2.0,5.0,7.0,7.0,7.0,6.0,7.0,7.0,7.0,3.0,7.0,6.0,6.0,4.0,7.0,5.0,6.0,2.0,6.0,3.0,5.0,7.0
5.0,6.0,6.0,3.0,5.0,5.0,7.0,6.0,7.0,6.0,3.0,6.0,6.0,7.0,4.0,6.0,6.0,5.0,2.0,5.0,6.0,5.0,5.0,5.0,5.0
5.0,6.0,6.0,6.0,7.0,6.0,7.0,4.0,6.0,5.0,7.0,6.0,5.0,6.0,7.0,6.0,6.0,6.0,5.0,6.0,6.0,6.0,3.0,6.0,6.0
5.0,4.0,5.0,5.0,4.0,4.0,5.0,5.0,6.0,5.0,4.0,4.0,3.0,4.0,4.0,6.0,5.0,6.0,5.0,6.0,6.0,6.0,6.0,6.0,5.0
6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,4.0,6.0,6.0,5.0,7.0,6.0,6.0,6.0,6.0
7.0,6.0,6.0,3.0,6.0,5.0,7.0,6.0,6.0,6.0,5.0,6.0,7.0,7.0,5.0,6.0,3.0,6.0,5.0,5.0,5.0,6.0,7.0,5.0,7.0
4.0,3.0,5.0,3.0,4.0,2.0,4.0,5.0,3.0,5.0,2.0,3.0,3.0,3.0,2.0,6.0,3.0,5.0,3.0,2.0,2.0,5.0,3.0,5.0,5.0
4.0,2.0,2.0,5.0,5.0,5.0,6.0,6.0,5.0,6.0,5.0,5.0,3.0,3.0,5.0,5.0,6.0,6.0,1.0,5.0,3.0,6.0,6.0,5.0,3.0
6.0,4.0,3.0,4.0,5.0,5.0,6.0,6.0,5.0,5.0,5.0,6.0,5.0,6.0,3.0,5.0,1.0,5.0,2.0,3.0,2.0,5.0,4.0,1.0,5.0
5.0,5.0,5.0,6.0,4.0,3.0,7.0,5.0,6.0,6.0,5.0,7.0,5.0,7.0,5.0,3.0,2.0,3.0,2.0,4.0,3.0,5.0,6.0,2.0,5.0
4.0,4.0,3.0,5.0,4.0,3.0,5.0,6.0,6.0,5.0,4.0,5.0,5.0,4.0,4.0,3.0,2.0,2.0,1.0,3.0,4.0,4.0,5.0,4.0,4.0
5.0,3.0,3.0,5.0,3.0,5.0,5.0,7.0,1.0,6.0,4.0,7.0,6.0,5.0,7.0,6.0,1.0,2.0,2.0,4.0,5.0,6.0,5.0,3.0,6.0
6.0,1.0,4.0,4.0,2.0,3.0,5.0,2.0,3.0,4.0,4.0,6.0,1.0,5.0,2.0,2.0,1.0,3.0,3.0,3.0,5.0,6.0,5.0,2.0,3.0
3.0,5.0,4.0,3.0,6.0,3.0,7.0,4.0,3.0,5.0,4.0,7.0,6.0,5.0,5.0,4.0,3.0,3.0,3.0,4.0,5.0,5.0,5.0,3.0,6.0
4.0,3.0,4.0,1.0,6.0,2.0,5.0,5.0,3.0,6.0,4.0,4.0,5.0,6.0,5.0,3.0,1.0,2.0,2.0,2.0,2.0,2.0,4.0,3.0,3.0
6.0,4.0,4.0,4.0,3.0,6.0,4.0,4.0,7.0,4.0,3.0,5.0,5.0,6.0,4.0,5.0,5.0,4.0,4.0,4.0,5.0,4.0,6.0,5.0,5.0
5.0,2.0,2.0,6.0,5.0,3.0,5.0,5.0,6.0,5.0,4.0,6.0,2.0,7.0,5.0,6.0,4.0,6.0,6.0,6.0,3.0,6.0,5.0,4.0,2.0
5.0,5.0,5.0,2.0,3.0,4.0,4.0,5.0,3.0,6.0,2.0,4.0,4.0,5.0,4.0,5.0,4.0,4.0,4.0,3.0,6.0,3.0,7.0,6.0,5.0
6.0,3.0,5.0,2.0,2.0,2.0,6.0,2.0,6.0,2.0,5.0,2.0,3.0,1.0,5.0,7.0,3.0,2.0,3.0,7.0,4.0,6.0,6.0,5.0,5.0
4.0,4.0,5.0,3.0,4.0,5.0,4.0,5.0,6.0,5.0,3.0,3.0,2.0,4.0,4.0,6.0,3.0,5.0,3.0,6.0,6.0,6.0,6.0,5.0,3.0
4.0,4.0,5.0,3.0,6.0,5.0,5.0,5.0,6.0,7.0,5.0,5.0,5.0,5.0,3.0,6.0,6.0,7.0,5.0,6.0,7.0,5.0,7.0,7.0,6.0
5.0,5.0,6.0,5.0,7.0,7.0,7.0,6.0,6.0,5.0,3.0,5.0,5.0,5.0,1.0,7.0,2.0,2.0,3.0,2.0,5.0,5.0,5.0,7.0,3.0
6.0,5.0,6.0,6.0,7.0,7.0,7.0,6.0,5.0,7.0,5.0,5.0,6.0,7.0,6.0,6.0,3.0,3.0,3.0,5.0,5.0,6.0,6.0,5.0,7.0
3.0,3.0,3.0,6.0,6.0,5.0,6.0,6.0,7.0,5.0,3.0,5.0,5.0,5.0,5.0,3.0,3.0,3.0,3.0,5.0,5.0,5.0,6.0,5.0,5.0
5.0,5.0,2.0,4.0,6.0,5.0,7.0,6.0,5.0,5.0,6.0,7.0,6.0,6.0,5.0,4.0,3.0,4.0,2.0,5.0,4.0,5.0,5.0,4.0,6.0
5.0,5.0,5.0,6.0,3.0,6.0,7.0,6.0,6.0,5.0,6.0,6.0,4.0,6.0,7.0,5.0,2.0,3.0,5.0,3.0,5.0,6.0,5.0,5.0,5.0
5.0,5.0,6.0,5.0,6.0,6.0,6.0,5.0,5.0,7.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0,2.0,3.0,2.0,5.0,6.0,5.0,3.0,6.0
5.0,5.0,4.0,5.0,5.0,5.0,6.0,6.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,2.0,2.0,1.0,3.0,2.0,5.0,5.0,6.0,5.0,5.0
5.0,6.0,7.0,4.0,7.0,4.0,7.0,4.0,2.0,4.0,3.0,3.0,6.0,4.0,4.0,5.0,5.0,5.0,3.0,6.0,7.0,5.0,6.0,6.0,6.0
6.0,4.0,5.0,3.0,5.0,2.0,6.0,4.0,6.0,5.0,4.0,6.0,5.0,5.0,3.0,2.0,1.0,2.0,1.0,3.0,2.0,3.0,4.0,3.0,5.0
3.0,2.0,3.0,5.0,4.0,6.0,5.0,5.0,5.0,5.0,4.0,5.0,6.0,4.0,5.0,5.0,3.0,2.0,3.0,4.0,3.0,5.0,5.0,4.0,5.0
5.0,5.0,5.0,6.0,5.0,6.0,6.0,6.0,7.0,5.0,5.0,6.0,5.0,7.0,5.0,6.0,6.0,6.0,5.0,5.0,6.0,6.0,7.0,6.0,5.0
5.0,4.0,5.0,5.0,5.0,2.0,5.0,5.0,4.0,6.0,3.0,3.0,5.0,3.0,5.0,5.0,1.0,2.0,2.0,4.0,3.0,5.0,2.0,3.0,3.0
7.0,3.0,5.0,6.0,4.0,3.0,7.0,6.0,2.0,7.0,5.0,5.0,5.0,7.0,5.0,5.0,1.0,2.0,1.0,2.0,1.0,6.0,2.0,1.0,7.0
5.0,3.0,6.0,5.0,7.0,5.0,6.0,6.0,4.0,5.0,6.0,5.0,7.0,7.0,4.0,4.0,3.0,3.0,1.0,4.0,2.0,5.0,5.0,3.0,5.0
5.0,4.0,4.0,2.0,6.0,3.0,7.0,4.0,5.0,6.0,4.0,6.0,5.0,6.0,4.0,7.0,1.0,6.0,1.0,3.0,3.0,5.0,7.0,5.0,6.0
7.0,6.0,3.0,5.0,6.0,5.0,5.0,6.0,6.0,6.0,5.0,7.0,5.0,6.0,5.0,2.0,1.0,3.0,2.0,3.0,1.0,4.0,2.0,3.0,4.0
5.0,4.0,4.0,3.0,6.0,5.0,6.0,6.0,4.0,5.0,5.0,5.0,5.0,7.0,7.0,6.0,2.0,3.0,3.0,2.0,3.0,6.0,4.0,2.0,4.0
4.0,3.0,5.0,6.0,6.0,6.0,7.0,7.0,3.0,4.0,6.0,7.0,7.0,5.0,6.0,1.0,1.0,3.0,2.0,2.0,5.0,6.0,5.0,3.0,5.0
7.0,7.0,6.0,5.0,6.0,6.0,7.0,7.0,6.0,7.0,6.0,6.0,7.0,7.0,6.0,6.0,6.0,5.0,7.0,5.0,6.0,6.0,7.0,6.0,5.0
5.0,4.0,5.0,4.0,5.0,5.0,5.0,6.0,5.0,5.0,4.0,5.0,4.0,4.0,5.0,3.0,3.0,3.0,3.0,5.0,6.0,6.0,7.0,5.0,6.0
5.0,3.0,6.0,3.0,3.0,6.0,6.0,5.0,5.0,6.0,3.0,7.0,3.0,6.0,5.0,3.0,3.0,2.0,2.0,3.0,5.0,6.0,5.0,6.0,6.0
4.0,2.0,4.0,4.0,3.0,1.0,7.0,6.0,5.0,5.0,2.0,5.0,4.0,2.0,3.0,4.0,2.0,2.0,1.0,5.0,2.0,2.0,5.0,3.0,4.0
6.0,5.0,6.0,5.0,6.0,5.0,6.0,5.0,6.0,6.0,4.0,5.0,5.0,6.0,6.0,6.0,4.0,6.0,5.0,6.0,5.0,5.0,6.0,5.0,7.0
3.0,5.0,4.0,4.0,4.0,6.0,7.0,5.0,7.0,7.0,5.0,5.0,5.0,5.0,6.0,6.0,3.0,6.0,3.0,4.0,7.0,6.0,6.0,5.0,5.0
3.0,2.0,6.0,3.0,3.0,3.0,7.0,4.0,6.0,5.0,5.0,4.0,3.0,4.0,2.0,2.0,1.0,3.0,1.0,3.0,3.0,7.0,4.0,6.0,7.0
5.0,4.0,5.0,3.0,6.0,6.0,6.0,7.0,6.0,5.0,4.0,5.0,5.0,6.0,5.0,5.0,5.0,3.0,3.0,5.0,2.0,7.0,6.0,3.0,7.0
4.0,3.0,3.0,2.0,4.0,6.0,3.0,4.0,4.0,4.0,4.0,2.0,4.0,5.0,5.0,6.0,4.0,5.0,5.0,6.0,4.0,5.0,2.0,4.0,4.0
5.0,5.0,6.0,5.0,5.0,4.0,7.0,5.0,5.0,7.0,4.0,4.0,3.0,4.0,2.0,2.0,1.0,5.0,3.0,3.0,3.0,6.0,7.0,6.0,5.0
3.0,3.0,5.0,3.0,5.0,5.0,3.0,5.0,7.0,5.0,6.0,3.0,2.0,2.0,3.0,6.0,6.0,5.0,7.0,6.0,7.0,7.0,7.0,5.0,3.0
5.0,5.0,5.0,5.0,6.0,5.0,6.0,7.0,5.0,5.0,6.0,7.0,6.0,5.0,6.0,6.0,6.0,5.0,5.0,6.0,7.0,5.0,5.0,7.0,6.0
7.0,6.0,6.0,5.0,7.0,7.0,5.0,7.0,5.0,6.0,5.0,6.0,6.0,7.0,5.0,7.0,7.0,6.0,7.0,5.0,5.0,6.0,7.0,6.0,6.0
4.0,3.0,6.0,6.0,3.0,4.0,4.0,6.0,3.0,5.0,3.0,4.0,5.0,4.0,4.0,4.0,3.0,3.0,3.0,2.0,3.0,6.0,4.0,4.0,6.0
5.0,7.0,6.0,2.0,5.0,5.0,6.0,6.0,5.0,6.0,7.0,7.0,5.0,6.0,7.0,3.0,2.0,3.0,1.0,3.0,3.0,6.0,5.0,4.0,6.0
6.0,6.0,3.0,7.0,5.0,2.0,7.0,6.0,6.0,6.0,3.0,5.0,5.0,1.0,5.0,2.0,1.0,2.0,1.0,5.0,5.0,7.0,7.0,5.0,7.0
4.0,3.0,4.0,2.0,6.0,5.0,6.0,5.0,4.0,5.0,4.0,4.0,4.0,4.0,3.0,4.0,2.0,2.0,3.0,4.0,3.0,4.0,4.0,3.0,4.0
7.0,6.0,2.0,6.0,6.0,7.0,6.0,7.0,6.0,7.0,1.0,6.0,6.0,7.0,1.0,1.0,1.0,1.0,1.0,2.0,6.0,7.0,6.0,6.0,7.0
7.0,6.0,6.0,6.0,5.0,5.0,6.0,5.0,6.0,6.0,6.0,5.0,6.0,7.0,5.0,6.0,4.0,5.0,6.0,5.0,5.0,5.0,7.0,5.0,7.0
5.0,6.0,5.0,5.0,4.0,5.0,5.0,5.0,4.0,6.0,4.0,5.0,5.0,4.0,4.0,4.0,3.0,3.0,2.0,3.0,3.0,6.0,4.0,2.0,6.0
6.0,2.0,5.0,3.0,7.0,6.0,6.0,7.0,7.0,5.0,3.0,7.0,5.0,6.0,2.0,7.0,1.0,2.0,1.0,1.0,6.0,5.0,6.0,4.0,7.0
6.0,5.0,6.0,7.0,5.0,6.0,7.0,6.0,5.0,5.0,5.0,5.0,6.0,4.0,6.0,6.0,5.0,5.0,7.0,5.0,6.0,4.0,6.0,7.0,5.0
6.0,3.0,7.0,3.0,7.0,5.0,6.0,5.0,6.0,5.0,6.0,7.0,7.0,7.0,7.0,6.0,5.0,6.0,2.0,6.0,6.0,7.0,6.0,6.0,5.0
5.0,4.0,6.0,3.0,5.0,6.0,5.0,7.0,5.0,6.0,4.0,6.0,4.0,5.0,4.0,6.0,2.0,5.0,5.0,5.0,6.0,6.0,3.0,7.0,4.0
7.0,3.0,5.0,2.0,7.0,5.0,7.0,7.0,5.0,6.0,5.0,6.0,6.0,5.0,6.0,5.0,3.0,6.0,3.0,5.0,5.0,4.0,5.0,3.0,7.0
7.0,7.0,7.0,3.0,6.0,6.0,6.0,6.0,7.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,3.0,6.0,6.0,6.0,3.0,7.0,5.0,7.0,5.0
6.0,3.0,5.0,5.0,5.0,5.0,6.0,6.0,5.0,6.0,5.0,6.0,6.0,5.0,5.0,1.0,2.0,4.0,3.0,3.0,2.0,3.0,3.0,4.0,3.0
6.0,6.0,5.0,7.0,2.0,5.0,7.0,5.0,6.0,5.0,3.0,6.0,5.0,5.0,3.0,5.0,2.0,3.0,3.0,3.0,3.0,5.0,7.0,3.0,6.0
5.0,5.0,6.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,4.0,6.0,5.0,6.0,4.0,4.0,3.0,4.0,3.0,5.0,3.0,6.0,6.0,5.0,5.0
6.0,4.0,5.0,4.0,5.0,4.0,4.0,6.0,3.0,5.0,4.0,5.0,4.0,5.0,5.0,6.0,3.0,3.0,4.0,4.0,4.0,6.0,5.0,4.0,4.0
4.0,4.0,5.0,2.0,5.0,5.0,6.0,6.0,4.0,5.0,6.0,4.0,6.0,6.0,6.0,5.0,4.0,3.0,3.0,4.0,4.0,7.0,5.0,4.0,6.0
5.0,3.0,3.0,5.0,3.0,3.0,5.0,5.0,5.0,5.0,4.0,6.0,5.0,6.0,5.0,4.0,1.0,1.0,1.0,4.0,1.0,4.0,6.0,6.0,4.0
3.0,3.0,5.0,1.0,3.0,4.0,5.0,4.0,3.0,6.0,1.0,5.0,2.0,4.0,3.0,5.0,1.0,3.0,1.0,5.0,6.0,6.0,5.0,7.0,4.0
5.0,2.0,5.0,2.0,5.0,3.0,4.0,5.0,3.0,5.0,2.0,6.0,3.0,6.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,3.0,2.0
